0 0 0
0.01 0 0
0.02 0 0
0.03 0 0
0.04 0 0
0.05 0 0
0.06 0 0
0.07 0 0
0.08 0 0
0.09 0 0

0 0.01 0.1111
0.01 0.01 0.1111
0.02 0.01 0.1111
0.03 0.01 0.1111
0.04 0.01 0.1111
0.05 0.01 0.1111
0.06 0.01 0.1111
0.07 0.01 0.1111
0.08 0.01 0.1111
0.09 0.01 0.1111

0 0.02 0.222202
0.01 0.02 0.222202
0.02 0.02 0.222202
0.03 0.02 0.222202
0.04 0.02 0.222202
0.05 0.02 0.222202
0.06 0.02 0.222202
0.07 0.02 0.222202
0.08 0.02 0.222202
0.09 0.02 0.222202

0 0.03 0.333306
0.01 0.03 0.333306
0.02 0.03 0.333306
0.03 0.03 0.333306
0.04 0.03 0.333306
0.05 0.03 0.333306
0.06 0.03 0.333306
0.07 0.03 0.333306
0.08 0.03 0.333306
0.09 0.03 0.333306

0 0.04 0.444413
0.01 0.04 0.444413
0.02 0.04 0.444413
0.03 0.04 0.444413
0.04 0.04 0.444413
0.05 0.04 0.444413
0.06 0.04 0.444413
0.07 0.04 0.444413
0.08 0.04 0.444413
0.09 0.04 0.444413

0 0.05 0.555524
0.01 0.05 0.555524
0.02 0.05 0.555524
0.03 0.05 0.555524
0.04 0.05 0.555524
0.05 0.05 0.555524
0.06 0.05 0.555524
0.07 0.05 0.555524
0.08 0.05 0.555524
0.09 0.05 0.555524

0 0.06 0.666639
0.01 0.06 0.666639
0.02 0.06 0.666639
0.03 0.06 0.666639
0.04 0.06 0.666639
0.05 0.06 0.666639
0.06 0.06 0.666639
0.07 0.06 0.666639
0.08 0.06 0.666639
0.09 0.06 0.666639

0 0.07 0.777757
0.01 0.07 0.777757
0.02 0.07 0.777757
0.03 0.07 0.777757
0.04 0.07 0.777757
0.05 0.07 0.777757
0.06 0.07 0.777757
0.07 0.07 0.777757
0.08 0.07 0.777757
0.09 0.07 0.777757

0 0.08 0.888878
0.01 0.08 0.888878
0.02 0.08 0.888878
0.03 0.08 0.888878
0.04 0.08 0.888878
0.05 0.08 0.888878
0.06 0.08 0.888878
0.07 0.08 0.888878
0.08 0.08 0.888878
0.09 0.08 0.888878

0 0.09 1
0.01 0.09 1
0.02 0.09 1
0.03 0.09 1
0.04 0.09 1
0.05 0.09 1
0.06 0.09 1
0.07 0.09 1
0.08 0.09 1
0.09 0.09 1
