0 0 0
0.01 0 0.111111
0.02 0 0.222222
0.03 0 0.333333
0.04 0 0.444444
0.05 0 0.555556
0.06 0 0.666667
0.07 0 0.777778
0.08 0 0.888889
0.09 0 1

0 0.01 -7.87509e-13
0.01 0.01 0.111111
0.02 0.01 0.222222
0.03 0.01 0.333333
0.04 0.01 0.444444
0.05 0.01 0.555556
0.06 0.01 0.666667
0.07 0.01 0.777778
0.08 0.01 0.888889
0.09 0.01 1

0 0.02 -3.37827e-12
0.01 0.02 0.111111
0.02 0.02 0.222222
0.03 0.02 0.333333
0.04 0.02 0.444444
0.05 0.02 0.555556
0.06 0.02 0.666667
0.07 0.02 0.777778
0.08 0.02 0.888889
0.09 0.02 1

0 0.03 4.86314e-12
0.01 0.03 0.111111
0.02 0.03 0.222222
0.03 0.03 0.333333
0.04 0.03 0.444444
0.05 0.03 0.555556
0.06 0.03 0.666667
0.07 0.03 0.777778
0.08 0.03 0.888889
0.09 0.03 1

0 0.04 4.44759e-12
0.01 0.04 0.111111
0.02 0.04 0.222222
0.03 0.04 0.333333
0.04 0.04 0.444444
0.05 0.04 0.555556
0.06 0.04 0.666667
0.07 0.04 0.777778
0.08 0.04 0.888889
0.09 0.04 1

0 0.05 3.94018e-12
0.01 0.05 0.111111
0.02 0.05 0.222222
0.03 0.05 0.333333
0.04 0.05 0.444444
0.05 0.05 0.555556
0.06 0.05 0.666667
0.07 0.05 0.777778
0.08 0.05 0.888889
0.09 0.05 1

0 0.06 -1.73368e-12
0.01 0.06 0.111111
0.02 0.06 0.222222
0.03 0.06 0.333333
0.04 0.06 0.444444
0.05 0.06 0.555556
0.06 0.06 0.666667
0.07 0.06 0.777778
0.08 0.06 0.888889
0.09 0.06 1

0 0.07 -9.12814e-12
0.01 0.07 0.111111
0.02 0.07 0.222222
0.03 0.07 0.333333
0.04 0.07 0.444444
0.05 0.07 0.555556
0.06 0.07 0.666667
0.07 0.07 0.777778
0.08 0.07 0.888889
0.09 0.07 1

0 0.08 1.62979e-12
0.01 0.08 0.111111
0.02 0.08 0.222222
0.03 0.08 0.333333
0.04 0.08 0.444444
0.05 0.08 0.555556
0.06 0.08 0.666667
0.07 0.08 0.777778
0.08 0.08 0.888889
0.09 0.08 1

0 0.09 0
0.01 0.09 0.111111
0.02 0.09 0.222222
0.03 0.09 0.333333
0.04 0.09 0.444444
0.05 0.09 0.555556
0.06 0.09 0.666667
0.07 0.09 0.777778
0.08 0.09 0.888889
0.09 0.09 1

